鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北屯區,房地(土地+建物),臺中市北屯區南興二路２０８號,141.18,住,,,1110211,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091218,350.25,4,3,5,有,無,39600000,113062,,0.0,0,其他增建；,RPXOMLLJLHHGFBB57DA,317.03,0.0,29.74,無,
北屯區,房地(土地+建物),臺中市北屯區陳平路３９巷１０號５樓,22.19,住,,,1110227,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830602,146.32,3,2,2,有,有,9350000,63901,,0.0,0,,RPOSMLNJLHHGFBB27DA,97.74,2.1,15.84,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區景賢路１６７號二樓,23.93,住,,,1101219,土地1建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041020,212.38,4,2,2,有,有,15880000,74772,坡道平面,25.28,0,,RPPPMLTJLHHGFBB67DA,109.83,7.41,10.87,有,
北區,房地(土地+建物),臺中市北區漢陽街９３之２號,21.34,住,,,1110208,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770604,66.97,2,2,1,有,無,6000000,89592,,0.0,0,陽台外推；,RPQNMLKKLHHGFBB76DA,48.04,0.0,4.64,無,0015
北屯區,房地(土地+建物),臺中市北屯區同榮路９０號,15.86,住,,,1110228,土地1建物1車位0,一層，騎樓，夾層,八層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0820106,101.07,1,1,2,有,無,10500000,103888,,0.0,0,含傢俱設備費；陽台外推；夾層；,RPWPMLLKLHHGFBB67DA,78.2,5.77,5.77,無,
北區,房地(土地+建物),臺中市北區國強街１１４巷５號,108.0,住,,,1110123,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0660816,138.51,4,2,3,有,無,10750000,77612,,0.0,0,含仲介費；,RPOOMLPKLHHGFBB17DA,138.51,0.0,0.0,無,
北區,房地(土地+建物)+車位,臺中市北區榮華街３０號４樓之２,19.05,住,,,1110211,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850629,149.09,4,2,2,有,有,9530000,63921,升降機械,0.0,0,,RPUSMLPKLHHGFBB18DA,97.03,2.66,14.66,有,
北屯區,土地,竹興段191地號,670.5,住,,,1110105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98670000,147159,,0.0,0,,RPPNMLRKLHHGFBB37DA,0.0,0.0,0.0,無,
北屯區,土地,竹興段192地號,500.5,住,,,1110105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,73656700,147166,,0.0,0,,RPQNMLRKLHHGFBB47DA,0.0,0.0,0.0,無,0016
北屯區,土地,陳平段97-13地號,13.0,,,,1110303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,42308,,0.0,0,,RPRPMLRKLHHGFBB77DA,0.0,0.0,0.0,無,
北屯區,土地,陳平段97-14地號,5.0,,,,1110303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,211000,42200,,0.0,0,,RPSPMLRKLHHGFBB87DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路３８巷５２號四樓之３,18.17,商,,,1110108,土地6建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980121,120.00999999999999,2,1,1,有,有,12500000,104158,坡道機械,18.91,0,,RPORMLOKJHHGFCB27DA,60.39,2.0,9.47,有,
南屯區,土地,鎮福段18地號,613.81,住,,,1101230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105836189,172425,,0.0,0,,RPTSMLOLJHHGFCB97DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街９號十七樓之５,12.44,商,,,1101119,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100722,130.84,2,2,1,有,有,16250000,144537,坡道平面,28.79,1500000,,RPQPMLRJKHHGFCB57DA,57.53,4.16,5.23,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明東街３９６號四樓之５,16.24,住,,,1110128,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841111,104.39,2,1,2,有,有,7850000,75199,升降機械,0.0,800000,陽台外推；其他增建；,RPPNMLKKKHHGFCB66DA,62.65,3.54,7.47,有,0017
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路三段６３號二十二樓之１,10.08,商,,,1110212,土地1建物1車位1,二十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060524,156.91,3,2,2,有,有,14650000,103842,坡道平面,31.72,1650000,,RPSNMLMKKHHGFCB17DA,68.18,7.54,5.37,有,0018
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段２４２之３３號三樓之６,5.3,住,,,1110212,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940527,54.28,1,0,1,有,有,4930000,90825,坡道機械,10.03,0,,RPQNMLQKKHHGFCB37DA,26.02,0.0,2.78,有,
南屯區,房地(土地+建物),臺中市南屯區新富路２６６號,130.75,住,,,1110127,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091201,238.18,4,3,5,有,無,43000000,180536,,0.0,0,,RPWQMLRKKHHGFCB38DA,218.32,0.0,19.86,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區福康路６８號十四樓,18.15,住,,,1110111,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801003,192.20999999999998,3,2,2,有,有,10100000,52547,坡道機械,0.0,0,,RPXRMLSKKHHGFCB68DA,147.8,1.5,14.27,有,0019
南屯區,房地(土地+建物),臺中市南屯區永春東路１２７號,81.79,住,,,1110210,土地2建物1車位0,全,四層,透天厝,住家用,ＲＣ造,0930924,234.84,4,2,3,有,有,30000000,127747,,0.0,0,,RPONNLSKKHHGFCB47DA,226.76,0.0,8.08,無,
南屯區,房地(土地+建物)+車位,臺中市南屯區保安五街１９號二樓之２,24.05,住,,,1110212,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051228,147.28,3,2,2,有,有,12450000,84533,坡道平面,36.07,0,,RPUPMLLLKHHGFCB57DA,66.45,0.0,6.65,有,0020
西屯區,房地(土地+建物),臺中市西屯區上明一街６６號十四樓之３,12.6,住,,,1110212,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,125.06,3,2,2,有,有,8050000,64369,,0.0,0,,RPRQMLOLKHHGFCB67DA,93.31,0.72,10.6,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段４５６之１０號七樓,9.76,住,,,1110129,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0931206,114.14,3,2,1,有,有,12800000,112143,坡道機械,20.05,0,陽台外推；,RPSOMLPLKHHGFCB67DA,60.07,0.0,8.4,有,0021
南屯區,房地(土地+建物),臺中市南屯區文心南六路１６號,100.15,住,,,1110203,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850604,281.11,6,2,5,有,無,32500000,115613,,0.0,0,陽台外推；其他增建；,RPRVMLPLKHHGFCB28DA,247.7,12.73,20.68,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街９號二十樓之６,13.09,商,,,1110114,土地1建物1車位1,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100722,137.38,2,2,1,有,有,18000000,151487,坡道平面,28.79,1550000,預售屋、或土地及建物分件登記案件；,RPQQMLLJLHHGFCB17DA,61.36,4.13,5.76,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區玉門路４８２號十六樓之２,18.89,住,,,1110212,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970630,224.02999999999997,3,2,2,有,有,23000000,102665,坡道平面,39.12,0,含傢俱設備費；,RPOQMLMJLHHGFCB07DA,107.79,5.15,16.88,有,
