鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
楠梓區,房地(土地+建物),高雄市楠梓區後昌路８３７巷３７號七樓之２,25.62,住,,,1110220,土地2建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820512,126.63,3,2,2,有,有,6550000,51725,,0.0,0,,RPWOMLLJLHHGFEE08DA,87.79,0.0,9.01,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區楠梓路２６９巷１９號三樓,15.3,住,,,1100923,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090904,172.34,3,2,2,有,有,8750000,52199,坡道平面,32.49,1450000,,RPOQMLRJLHHGFEE08DA,83.17,0.0,8.88,有,
楠梓區,房地(土地+建物),高雄市楠梓區楠梓路２６９巷１９號二十三樓,15.3,住,,,1101223,土地1建物1車位0,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090904,139.85,3,2,2,有,有,7960000,56918,,0.0,0,,RPRQMLRJLHHGFEE38DA,83.17,0.0,8.88,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區楠梓路２６９巷２７號八樓,11.13,住,,,1101224,土地1建物1車位1,八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090904,133.89999999999998,2,2,1,有,有,6230000,49108,坡道平面,32.49,1250000,,RPVQMLRJLHHGFEE78DA,58.24,0.0,8.81,有,
左營區,房地(土地+建物),高雄市左營區大順一路２７０號十樓之２,11.7,住,,,1110106,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931227,85.02,2,2,1,有,有,7000000,82334,,0.0,0,,RPXRMLRJLHHGFEE09DA,53.58,1.28,3.89,有,
楠梓區,房地(土地+建物),高雄市楠梓區楠梓新路２６１巷１６弄９號十樓,10.8,住,,,1110115,土地1建物1車位0,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,116.71000000000001,3,2,2,有,有,5000000,42841,,0.0,0,,RPPPMLLKLHHGFEE57DA,94.36,0.0,11.14,有,0035
左營區,房地(土地+建物)+車位,高雄市左營區保靖街４７號十一樓之１,7.01,商,,,1110122,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031104,91.36,2,1,1,有,有,9580000,104860,坡道機械,10.36,0,含裝潢費；含傢俱設備費；,RPTNMLPKLHHGFEE18DA,45.36,3.52,3.59,有,0036
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２７８號十五樓,16.33,住,,,1100827,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100513,116.00999999999999,2,1,2,有,有,7420000,67998,坡道平面,31.89,1700000,,RPPPMLPKLHHGFEE97DA,50.46,0.0,3.59,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區高雄大學路２９０號十二樓,21.87,住,,,1101006,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100513,159.23000000000002,3,2,2,有,有,11580000,79158,坡道平面,31.89,1500000,,RPQSMLPKLHHGFEE38DA,78.25,0.0,3.51,有,
左營區,房地(土地+建物)+車位,高雄市左營區文奇路１９１號九樓之３,13.13,商,,,1110205,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,143.23,4,2,2,有,有,9000000,62836,升降平面,0.0,0,,RPOUMLPKLHHGFEE38DA,89.58,0.0,12.52,有,0037
